iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
382,2500,6664,25,4983,0,5008
383,2500,6664,32,4979,0,5011
384,2500,6664,25,4980,0,5005
385,2500,6664,22,4984,0,5006
386,2500,6664,20,4983,0,5003
387,2500,6664,22,4985,0,5007
388,2500,6664,22,4984,0,5006
389,2500,6664,23,4983,0,5006
390,2500,6664,20,4985,0,5005
391,2500,6664,23,4983,0,5006
392,2500,6664,23,4982,0,5005
393,2500,6664,19,4985,0,5004
394,2500,6664,27,4981,0,5008
395,2500,6664,26,4981,0,5007
396,2500,6664,25,4982,0,5007
397,2500,6664,22,4985,0,5007
398,2500,6664,27,4980,0,5007
399,2500,6664,26,4981,0,5007
400,2500,6664,19,4988,0,5007
401,2500,6664,21,4984,0,5005
402,2500,6664,20,4986,0,5006
403,2500,6664,22,4984,0,5006
404,2500,6664,20,4985,0,5005
405,2500,6664,16,4988,0,5004
406,2500,6664,18,4984,0,5002
407,2500,6664,22,4984,0,5006
408,2500,6664,16,4987,0,5003
409,2500,6664,27,4980,0,5007
410,2500,6664,28,4980,0,5008
411,2500,6664,20,4985,0,5005
412,2500,6664,26,4984,0,5010
413,2500,6664,23,4983,0,5006
414,2500,6664,24,4985,0,5009
415,2500,6664,15,4988,0,5003
416,2500,6664,24,4982,0,5006
417,2500,6664,22,4984,0,5006
418,2500,6664,24,4983,0,5007
419,2500,6664,19,4985,0,5004
420,2500,6664,19,4986,0,5005
421,2500,6664,19,4984,0,5003
422,2500,6664,14,4989,0,5003
423,2500,6664,32,4978,0,5010
424,2500,6664,17,4986,0,5003
425,2500,6664,30,4978,0,5008
426,2500,6664,28,4980,0,5008
427,2500,6664,16,4988,0,5004
428,2500,6664,31,4977,0,5008
429,2500,6664,27,4981,0,5008
430,2500,6664,22,4986,0,5008
431,2500,6664,28,4980,0,5008
432,2500,6664,18,4986,0,5004
433,2500,6664,22,4986,0,5008
434,2500,6664,25,4981,0,5006
435,2500,6664,21,4984,0,5005
436,2500,6664,27,4980,0,5007
437,2500,6664,35,4976,0,5011
438,2500,6664,15,4989,0,5004
439,2500,6664,22,4985,0,5007
440,2500,6664,26,4983,0,5009
441,2500,6664,21,4986,0,5007
442,2500,6664,12,4989,0,5001
443,2500,6664,21,4982,0,5003
444,2500,6664,24,4980,0,5004
445,2500,6664,28,4982,0,5010
446,2500,6664,24,4982,0,5006
447,2500,6664,27,4981,0,5008
448,2500,6664,22,4984,0,5006
449,2500,6664,25,4980,0,5005
450,2500,6664,18,4985,0,5003
451,2500,6664,20,4984,0,5004
452,2500,6664,19,4986,0,5005
453,2500,6664,19,4986,0,5005
454,2500,6664,21,4984,0,5005
455,2500,6664,18,4986,0,5004
456,2500,6664,11,4988,0,4999
457,2500,6664,28,4979,0,5007
458,2500,6664,15,4989,0,5004
459,2500,6664,32,4976,0,5008
460,2500,6664,17,4988,0,5005
461,2500,6664,11,4990,0,5001
462,2500,6664,21,4981,0,5002
463,2500,6664,23,4983,0,5006
464,2500,6664,20,4984,0,5004
465,2500,6664,26,4979,0,5005
466,2500,6664,18,4985,0,5003
467,2500,6664,21,4986,0,5007
468,2500,6664,20,4985,0,5005
469,2500,6664,16,4988,0,5004
470,2500,6664,21,4985,0,5006
471,2500,6664,20,4985,0,5005
472,2500,6664,29,4976,0,5005
473,2500,6664,39,4970,0,5009
474,2500,6664,15,4987,0,5002
475,2500,6664,26,4978,0,5004
476,2500,6664,30,4977,0,5007
477,2500,6664,37,4974,0,5011
478,2500,6664,28,4981,0,5009
479,2500,6664,29,4978,0,5007
480,2500,6664,22,4984,0,5006
481,2500,6664,17,4988,0,5005
482,2500,6664,24,4980,0,5004
483,2500,6664,24,4982,0,5006
484,2500,6664,19,4985,0,5004
485,2500,6664,21,4985,0,5006
486,2500,6664,26,4980,0,5006
487,2500,6664,23,4981,0,5004
488,2500,6664,22,4981,0,5003
489,2500,6664,19,4986,0,5005
490,2500,6664,29,4979,0,5008
491,2500,6664,12,4990,0,5002
492,2500,6664,19,4987,0,5006
493,2500,6664,26,4980,0,5006
494,2500,6664,19,4986,0,5005
495,2500,6664,31,4978,0,5009
496,2500,6664,14,4988,0,5002
497,2500,6664,21,4984,0,5005
498,2500,6664,20,4986,0,5006
499,2500,6664,22,4982,0,5004
500,2500,6664,16,4986,0,5002
501,2500,6664,22,4984,0,5006
502,2500,6664,19,4985,0,5004
503,2500,6664,16,4987,0,5003
504,2500,6664,12,4991,0,5003
505,2500,6664,21,4983,0,5004
506,2500,6664,10,4990,0,5000
507,2500,6664,16,4986,0,5002
508,2500,6664,23,4983,0,5006
509,2500,6664,32,4977,0,5009
510,2500,6664,23,4983,0,5006
511,2500,6664,21,4983,0,5004
512,2500,6664,23,4982,0,5005
513,2500,6664,26,4981,0,5007
514,2500,6664,18,4987,0,5005
515,2500,6664,18,4985,0,5003
516,2500,6664,8,4992,0,5000
517,2500,6664,26,4981,0,5007
518,2500,6664,24,4981,0,5005
519,2500,6664,20,4984,0,5004
520,2500,6664,14,4988,0,5002
521,2500,6664,22,4983,0,5005
522,2500,6664,13,4988,0,5001
523,2500,6664,26,4982,0,5008
524,2500,6664,29,4981,0,5010
525,2500,6664,27,4980,0,5007
526,2500,6664,15,4987,0,5002
527,2500,6664,11,4990,0,5001
528,2500,6664,26,4982,0,5008
529,2500,6664,35,4977,0,5012
530,2500,6664,27,4982,0,5009
531,2500,6664,23,4983,0,5006
532,2500,6664,28,4979,0,5007
533,2500,6664,22,4983,0,5005
534,2500,6664,28,4978,0,5006
535,2500,6664,15,4988,0,5003
536,2500,6664,20,4985,0,5005
537,2500,6664,20,4984,0,5004
538,2500,6664,27,4981,0,5008
539,2500,6664,17,4988,0,5005
540,2500,6664,28,4980,0,5008
541,2500,6664,35,4976,0,5011
542,2500,6664,22,4984,0,5006
543,2500,6664,21,4984,0,5005
544,2500,6664,10,4992,0,5002
545,2500,6664,26,4983,0,5009
546,2500,6664,14,4989,0,5003
547,2500,6664,15,4987,0,5002
548,2500,6664,25,4982,0,5007
549,2500,6664,20,4985,0,5005
550,2500,6664,22,4985,0,5007
551,2500,6664,40,4974,0,5014
552,2500,6664,27,4982,0,5009
553,2500,6664,22,4982,0,5004
554,2500,6664,24,4981,0,5005
555,2500,6664,14,4990,0,5004
556,2500,6664,20,4985,0,5005
557,2500,6664,31,4976,0,5007
558,2500,6664,22,4983,0,5005
559,2500,6664,28,4980,0,5008
560,2500,6664,17,4986,0,5003
561,2500,6664,27,4982,0,5009
562,2500,6664,24,4979,0,5003
563,2500,6664,35,4978,0,5013
564,2500,6664,19,4986,0,5005
565,2500,6664,25,4984,0,5009
566,2500,6664,23,4981,0,5004
567,2500,6664,15,4988,0,5003
568,2500,6664,20,4983,0,5003
569,2500,6664,20,4987,0,5007
570,2500,6664,26,4980,0,5006
571,2500,6664,21,4984,0,5005
572,2500,6664,15,4987,0,5002
573,2500,6664,26,4982,0,5008
574,2500,6664,16,4987,0,5003
575,2500,6664,26,4982,0,5008
576,2500,6664,22,4983,0,5005
577,2500,6664,18,4986,0,5004
578,2500,6664,22,4984,0,5006
579,2500,6664,25,4978,0,5003
